rank,author_id,author_name,matched_works,total_works,matched_share,cited_by_count,orcid,flag_low_share,retained
106,A5065859286,Hui Li,146,8871,0.01645812197046556,40707,https://orcid.org/0000-0001-9198-3951,TRUE,FALSE
107,A5026023540,Robert Dreibelbis,145,187,0.7754010695187166,4901,https://orcid.org/0000-0002-9716-0419,FALSE,TRUE
108,A5006567680,Susan D. Richardson,144,256,0.5625,27552,https://orcid.org/0000-0001-6207-4513,FALSE,TRUE
109,A5044372161,Yakov Pachepsky,144,524,0.2748091603053435,21285,https://orcid.org/0000-0003-0232-6090,FALSE,TRUE
110,A5090223095,Ashantha Goonetilleke,144,522,0.27586206896551724,14807,https://orcid.org/0000-0002-8783-1223,FALSE,TRUE
111,A5004994407,Bruce Jefferson,143,336,0.4255952380952381,23681,https://orcid.org/0000-0003-4320-628X,FALSE,TRUE
112,A5038222261,Mark D. Sobsey,143,371,0.38544474393531,18763,https://orcid.org/0000-0001-8978-4996,FALSE,TRUE
113,A5057279789,G. Ho,143,535,0.2672897196261682,4808,https://orcid.org/0000-0001-9190-8812,FALSE,TRUE
114,A5055432844,Junfei Qiao,142,528,0.2689393939393939,14038,https://orcid.org/0000-0002-1707-6074,FALSE,TRUE
115,A5100633632,Yue Wang,142,7743,0.01833914503422446,15904,https://orcid.org/0000-0003-0098-5359,TRUE,FALSE
116,A5111843304,Konrad Grob,142,844,0.16824644549763032,14465,NA,FALSE,TRUE
117,A5108713076,Claudia Bolognesi,141,720,0.19583333333333333,4620,NA,FALSE,TRUE
118,A5112149665,Holger Zorn,141,637,0.22135007849293564,3192,NA,FALSE,TRUE
119,A5000185175,Alan MacDonald,140,389,0.35989717223650386,13448,https://orcid.org/0000-0001-6636-1499,FALSE,TRUE
120,A5061026876,Guillermo Garcia‐Manero,140,3031,0.046189376443418015,90997,https://orcid.org/0000-0002-3631-2482,TRUE,FALSE
121,A5070753697,Jan Holmgren,140,593,0.23608768971332209,33529,https://orcid.org/0000-0003-1784-5918,FALSE,TRUE
122,A5052023512,Paul Hunter,138,584,0.2363013698630137,27496,https://orcid.org/0000-0002-5608-6144,FALSE,TRUE
123,A5057299548,Baoyou Shi,138,231,0.5974025974025974,7015,https://orcid.org/0000-0003-2129-4717,FALSE,TRUE
124,A5079264989,Érick Denamur,138,354,0.3898305084745763,24551,https://orcid.org/0000-0002-7860-1717,FALSE,TRUE
